Artist,Release
Błoto,Kwiatostan
Boris,Flood
Boris With Merzbow,Rock Dream
Broadcast,Distant Call: Collected Demos 2000-2006
Chico Buarque,Construção
Camel,Mirage
Candy Claws,Ceres & Calypso in the Deep Time
Nick Cave and The Bad Seeds,Let Love In
Coil,The Ape of Naples
Collage,Nine Songs of John Lennon
Collage,Moonshine
John Coltrane,Giant Steps
Alice Coltrane featuring Pharoah Sanders,Journey in Satchidananda
Columbia Symphony Orchestra,Stravinsky Conducts Le sacre du printemps
Comus,First Utterance
Danger Mouse,The Grey Album
De La Soul,Buhloone Mindstate
Lana Del Rey,Lasso
Digable Planets,Blowout Comb
Dr. Dre,Missionary
Floating Points,Elaenia
Floating Points,Promises
Fragile,Fragile
Invisible,El jardín de los presentes
Janet,The Velvet Rope
JPEGMAFIA,I Lay Down My Life for You
King Crimson,The Great Deceiver: Live 1973-1974
King Geedorah,Take Me to Your Leader
The Kinks,The Kinks Are the Village Green Preservation Society
Knocked Loose,You Won't Go Before You're Supposed To
Laufey,Bewitched
Lift to Experience,The Texas-Jerusalem Crossroads
Lingua Ignota,Sinner Get Ready
Little Simz,Sometimes I Might Be Introvert
London Sinfonietta,Symphony No. 3
Alice Phoebe Lou,Shelter
L.Stadt,L.Story
Lupe Fiasco,Samurai
Mach-Hommy,The G.A.T...
Mac Miller,Maclib
Moby Grape,Moby Grape
The Moody Blues with The London Festival Orchestra,Days of Future Passed
Alanis Morissette,Jagged Little Pill
Mos Def,Black on Both Sides
Joanna Newsom,Ys
Oceansize,Everyone Into Position
Omega,10000 lépés
Organized Konfusion,Stress: The Extinction Agenda
Pavement,Slanted and Enchanted
Perfume,⊿ (Triangle)
The Pharcyde,Bizarre Ride II the Pharcyde
Pixies,The Night the Zombies Came
Public Service Broadcasting,Inform - Educate - Entertain
Raz Dwa Trzy,Trudno nie wierzyć w nic
Porter Robinson,SMILE! :D
The Roots,Things Fall Apart
Sade,Love Deluxe
Satellite,Evening Games
Travis Scott,Rodeo
Serú Girán,Grasa de las capitales
Sleater-Kinney,The Woods
sonhos tomam conta,Corpos de água
SOPHIE,SOPHIE
Alexander Spence,Oar
Staatsorchester Stuttgart,Tabula rasa
Strawberry Fields,Rivers Gone Dry
Swans,To Be Kind
Trupa Trupa,Jolly New Songs
underscores,Wallsocket
Van der Graaf Generator,Pawn Hearts
Viktor Vaughn,Vaudeville Villain
The Voidz,Like All Before You
Kamasi Washington,Fearless Movement
billy woods,Maps
Robert Wyatt,Rock Bottom
xmal,"Never My World, My Never Portal"
XTC,Skylarking
Yo La Tengo,And Then Nothing Turned Itself Inside-Out
